customer_id,date,product,quantity,unit_price,payment_method,amount,amount_check,year,month
C063,2025-07-28,Phone (budget),1.0,300.0,credit card,300.0,300.0,2025,7
C021,2025-07-30,Phone (budget),2.0,300.0,online_payment,600.0,600.0,2025,7
C005,2025-06-15,Smartwatch (premium),1.0,350.0,online_payment,350.0,350.0,2025,6
C066,2025-07-13,Headphones (medium),3.0,100.0,online_payment,300.0,300.0,2025,7
C069,2025-07-31,Phone (premium),3.0,800.0,credit card,2400.0,2400.0,2025,7
C076,2025-07-11,Tablet (premium),2.0,600.0,credit card,1200.0,1200.0,2025,7
C033,2025-06-28,Headphones (premium),1.0,200.0,online_payment,200.0,200.0,2025,6
C043,2025-07-30,Tablet (medium),3.0,350.0,cash,1050.0,1050.0,2025,7
C003,2025-07-20,Tablet (premium),1.0,600.0,credit card,600.0,600.0,2025,7
C100,2025-06-29,Phone (budget),2.0,300.0,online_payment,600.0,600.0,2025,6
C076,2025-07-02,Smartwatch (medium),3.0,200.0,credit card,600.0,600.0,2025,7
C032,2025-07-14,Phone (budget),2.0176600441501105,300.0,cash,605.2980132450332,605.2980132450332,2025,7
C009,2025-07-23,Smartwatch (premium),2.0,350.0,credit card,700.0,700.0,2025,7
C064,2025-07-17,Tablet (medium),3.0,350.0,credit card,1050.0,1050.0,2025,7
C050,2025-07-05,Tablet (premium),2.0,600.0,credit card,1200.0,1200.0,2025,7
C043,2025-06-04,Tablet (medium),2.0,350.0,cash,700.0,700.0,2025,6
C015,2025-07-28,Phone (medium),3.0,500.0,cash,1500.0,1500.0,2025,7
C099,2025-08-01,Smartwatch (budget),3.0,100.0,cash,300.0,300.0,2025,8
C081,2025-06-27,Headphones (premium),2.0176600441501105,200.0,cash,403.5320088300221,403.5320088300221,2025,6
C069,2025-07-29,Laptop (medium),2.0,1000.0,online_payment,2000.0,2000.0,2025,7
C064,2025-07-24,Phone (budget),3.0,300.0,credit card,900.0,900.0,2025,7
C087,2025-08-13,Laptop (premium),1.0,1500.0,cash,1500.0,1500.0,2025,8
C023,2025-06-22,Smartwatch (premium),1.0,350.0,credit card,350.0,350.0,2025,6
C033,2025-06-17,Tablet (budget),1.0,200.0,credit card,200.0,200.0,2025,6
C045,2025-06-10,Smartwatch (budget),3.0,100.0,cash,300.0,300.0,2025,6
C054,2025-07-28,Headphones (medium),2.0,100.0,cash,200.0,200.0,2025,7
C019,2025-06-17,Laptop (medium),3.0,1000.0,cash,3000.0,3000.0,2025,6
C039,2025-06-23,Tablet (medium),2.0,350.0,cash,700.0,700.0,2025,6
C082,2025-08-03,Smartwatch (budget),1.0,100.0,credit card,100.0,100.0,2025,8
C043,2025-08-31,Tablet (budget),2.0176600441501105,200.0,cash,403.5320088300221,403.5320088300221,2025,8
C044,2025-07-16,Phone (medium),1.0,500.0,cash,500.0,500.0,2025,7
C081,2025-07-12,Laptop (budget),1.0,600.0,online_payment,600.0,600.0,2025,7
C072,2025-07-29,Laptop (medium),2.0176600441501105,1000.0,credit card,2017.6600441501105,2017.6600441501105,2025,7
C053,2025-08-17,Tablet (medium),2.0,350.0,cash,700.0,700.0,2025,8
C010,2025-06-10,Smartwatch (medium),3.0,200.0,credit card,600.0,600.0,2025,6
C054,2025-06-14,Phone (premium),1.0,800.0,credit card,800.0,800.0,2025,6
C080,2025-08-05,Laptop (budget),1.0,600.0,online_payment,600.0,600.0,2025,8
C100,2025-06-30,Phone (medium),1.0,500.0,credit card,500.0,500.0,2025,6
C014,2025-08-18,Phone (premium),3.0,800.0,cash,2400.0,2400.0,2025,8
C029,2025-08-05,Laptop (budget),3.0,600.0,cash,1800.0,1800.0,2025,8
C076,2025-06-16,Smartwatch (budget),3.0,100.0,online_payment,300.0,300.0,2025,6
C055,2025-08-19,Laptop (medium),1.0,1000.0,credit card,1000.0,1000.0,2025,8
C017,2025-08-01,Tablet (premium),3.0,600.0,cash,1800.0,1800.0,2025,8
C034,2025-07-22,Tablet (medium),1.0,350.0,credit card,350.0,350.0,2025,7
C027,2025-07-23,Laptop (budget),3.0,600.0,online_payment,1800.0,1800.0,2025,7
C039,2025-08-16,Laptop (medium),2.0,1000.0,credit card,2000.0,2000.0,2025,8
C057,2025-08-05,Smartwatch (premium),2.0,350.0,online_payment,700.0,700.0,2025,8
C034,2025-08-31,Headphones (medium),2.0,454.35729847494554,credit card,908.7145969498911,908.7145969498911,2025,8
C028,2025-07-06,Tablet (budget),1.0,200.0,credit card,200.0,200.0,2025,7
C062,2025-07-16,Phone (budget),3.0,300.0,cash,900.0,900.0,2025,7
C085,2025-08-03,Smartwatch (budget),3.0,100.0,credit card,300.0,300.0,2025,8
C027,2025-06-06,Headphones (medium),2.0,100.0,cash,200.0,200.0,2025,6
C033,2025-08-21,Phone (budget),1.0,300.0,credit card,300.0,300.0,2025,8
C073,2025-06-16,Laptop (budget),3.0,454.35729847494554,credit card,1363.0718954248366,1363.0718954248366,2025,6
C011,2025-07-30,Phone (medium),2.0,500.0,online_payment,1000.0,1000.0,2025,7
C039,2025-06-08,Tablet (premium),1.0,600.0,online_payment,600.0,600.0,2025,6
C002,2025-06-26,Phone (medium),3.0,500.0,credit card,1500.0,1500.0,2025,6
C004,2025-08-07,Headphones (medium),1.0,100.0,credit card,100.0,100.0,2025,8
C072,2025-07-06,Phone (premium),1.0,800.0,credit card,800.0,800.0,2025,7
